Description,Brand,Model,S/N,Quantity,Remark
MP3 Recorder,ZOOM,H6 Recorder,H6-0076575,1,
MP3 Recorder,ZOOM,H5 Recorder,H5-043746,1,
MP3 Recorder,ZOOM,H5 Recorder,H5-043744,1,
MP3 Recorder,ZOOM,H5 Recorder,H5-045849,1,
MP3 Recorder,ZOOM,H5 Recorder,H5-043741,1,
MP3 Recorder,ZOOM,H5 Recorder,H5-043743,1,
MP3 Recorder,ZOOM,H1 Recorder,H1-B71027358,1,
MP3 Recorder,ZOOM,H1 Recorder,H1-B71078024,1,
MP3 Recorder,ZOOM,H1N Recorder,C13374117,1,
MP3 Recorder,ZOOM,H1N Recorder,C13374118,1,
MP3 Recorder,ZOOM,H1N Recorder,C13373282,1,
MP3 Recorder,ZOOM,H1N Recorder,C13373283,1,
MP3 Recorder,Sony,UX570 Recorder,1075683,1,
MP3 Recorder,Sony,UX570 Recorder,1072880,1,
MP3 Recorder,Sony,UX570 Recorder,1075685,1,
MP3 Recorder,Sony,UX570 Recorder,1072885,1,
Drum Set,Pearl,Professional,,1,
Drum kit,Shure,PGDMK6 Drum Kit,D475039,1,
Drum kit,Shure,PGDMK6 Drum Kit,D475038,1,
Drum Kit,Shure,SM81,,3,
Drum Kit,Shure,Beta52A,,1,
Drum Kit,Shure,Beta91A,,1,
Drum Kit,Sennheiser,e906,,3,
Drum Kit,Sennheiser,e9604,,2,
Drum Kit,Shure,SM81,,6,
Drum Kit,Shure,SM57,,8,
Drum Kit,Shure,PGA98S,,8,
Digital Piano,Roland,RD-700NX,27A6127N,1,
Bass Amplifier,AMPEG,Bass Amplifier SVT-3PRO HEAD AMP,03340CPGA0005,1,
Bass Amplifier,AMPEG,SVT610HLF,0026754AKGS0012,1,
Bass Amplifier,AMPEG,ROCKET BASS RB-115,,1,
Guitar Amplifier,Marshall,DSL40C,DSL40C-V0108338E,1,
Guitar Amplifier,Fender,Twin Reverb,AC12048,1,
Keyboard Amplifier,Peavey,KB5,0DBH150237,1,
Standnote,Standnote,Standnote,,10,
Microphone Stand,Samson,Short,,10,
Microphone Stand,Samson,long,,30,
Microphone Stand,K&M,Long,,20,
Microphone Stand,K&M,Black Short,,8,
Microphone Stand,K&M,Black Long,,16,
Microphone Stand,K&M,Gray,,30,
Speaker Stand,Speaker Stand,Speaker Stand,,54,
Flying Frame,L-Acoustics,M-BUMP,,1,
